0,ativo;classificador;RetornoBruto;RetornoLiquido;CustoOperacional;BuyAndHoldP;comprarSempreP;IndInversoP;IndAleatorioP;indAlvo05P;indAlvo1P;indAlvo2P;perdaP;ganhoP;retornoMedioP;perdaMediaP;ganhoMedioP ;qtdePerda;qtdeGanho ;qtdeTotal ;qtdeClasse0 ;qtdeClasse1 ;precisao;acuracia;f1score;recall;specificity;sharpe;sortino;media;desvioPadrao;desvioAbsoluto;mediana;quantil;minimo;maximo;amplitude;variancia; DataInicial; DataFinal; QtdeDias; PrecoInicial; PrecoFinal; Classe0; Classe1; QtdeClasse0;QtdeClasse1;volatilidade;volatilidadeDowsid;qtdeD3_caiu;qtdeD3_estavel;qtdeD3_subiu;qtdeRompimento;qtdeCorrecao;qtdeContraTendencia;ShapiroWilk;KolmogorovSmirnov;Tstudent;Anova;kruskalWallis
1,CSNA3;1;15.53;12.11;3.42;13.30;5.24;-10.28;1.33;3.99;4.21;3.57;-14.52;30.04;0.86;-2.07;2.73;7;11;18;11;18;61.11;62.07;66.67;73.33;50.00;3.89;7.65;0.86;2.91;2.34;1.05;1.05;-3.01;6.63;9.64;8.46;03/07/2017;11/08/2017;30;7.30;8.47;50.00;50.00;15;15;3.37;1.72;19;0;14;3;1;8;0.31;0.00;0.43;0.67;0.12
2,CSNA3;2;11.76;9.18;2.59;13.30;5.24;-6.52;-1.00;4.95;7.68;4.94;-9.05;20.81;0.84;-2.26;2.08;4;10;14;15;14;71.43;68.97;68.97;66.67;71.43;2.77;5.46;0.84;2.50;1.91;0.86;0.86;-2.77;5.31;8.08;6.24;03/07/2017;11/08/2017;30;7.30;8.47;50.00;50.00;15;15;3.37;1.72;19;0;14;3;1;8;0.60;0.04;0.45;0.72;0.14
3,CSNA3;3;9.45;7.37;2.08;13.30;5.24;-4.20;9.88;2.99;2.21;0.16;-14.52;23.97;0.59;-2.07;2.66;7;9;16;13;16;56.25;55.17;58.06;60.00;50.00;2.09;4.10;0.59;3.01;2.33;0.62;0.62;-3.01;6.63;9.64;9.04;03/07/2017;11/08/2017;30;7.30;8.47;50.00;50.00;15;15;3.37;1.72;19;0;14;3;1;8;0.17;0.07;0.65;0.89;0.60
4,CSNA3;4;13.22;10.31;2.91;13.30;5.24;-7.98;-1.74;3.94;9.17;8.84;-12.56;25.78;0.63;-1.57;1.98;8;13;21;8;21;61.90;65.52;72.22;86.67;42.86;3.21;6.31;0.63;2.24;1.72;0.69;0.69;-2.77;5.31;8.08;5.02;03/07/2017;11/08/2017;30;7.30;8.47;50.00;50.00;15;15;3.37;1.72;19;0;14;3;1;8;0.52;0.03;0.54;0.67;0.01
5,CSNA3;5;20.58;16.05;4.53;13.30;5.24;-15.34;3.27;5.45;4.67;10.76;-7.33;27.91;1.37;-1.83;2.54;4;11;15;14;15;73.33;72.41;73.33;73.33;71.43;5.39;10.60;1.37;2.73;2.00;1.41;1.41;-3.01;6.63;9.64;7.43;03/07/2017;11/08/2017;30;7.30;8.47;50.00;50.00;15;15;3.37;1.72;19;0;14;3;1;8;0.73;0.00;0.18;0.19;0.02
6,CSNA3;6;19.67;15.34;4.33;13.30;5.24;-14.43;4.34;4.45;6.68;9.84;-6.83;26.51;1.51;-2.28;2.65;3;10;13;16;13;76.92;72.41;71.43;66.67;78.57;5.12;10.07;1.51;2.85;2.16;1.43;1.43;-2.77;6.63;9.40;8.15;03/07/2017;11/08/2017;30;7.30;8.47;50.00;50.00;15;15;3.37;1.72;19;0;14;3;1;8;0.76;0.00;0.16;0.21;0.02
7,CSNA3;7;19.97;15.58;4.39;13.30;5.24;-14.73;-7.67;4.45;6.68;10.14;-6.54;26.51;1.54;-2.18;2.65;3;10;13;16;13;76.92;72.41;71.43;66.67;78.57;5.21;10.24;1.54;2.82;2.15;1.43;1.43;-2.77;6.63;9.40;7.96;03/07/2017;11/08/2017;30;7.30;8.47;50.00;50.00;15;15;3.37;1.72;19;0;14;3;1;8;0.81;0.00;0.15;0.08;0.01
8,CSNA3;8;11.34;8.84;2.49;13.30;5.24;-6.10;-4.05;2.44;2.66;2.05;-15.07;26.40;0.63;-2.15;2.40;7;11;18;11;18;61.11;62.07;66.67;73.33;50.00;2.65;5.21;0.63;2.82;2.17;0.70;0.70;-2.77;6.63;9.40;7.96;03/07/2017;11/08/2017;30;7.30;8.47;50.00;50.00;15;15;3.37;1.72;19;0;14;3;1;8;0.11;0.04;0.59;0.88;0.31
9,CSNA3;9;14.92;11.63;3.28;13.30;5.24;-9.67;7.88;4.45;6.68;5.63;-9.05;23.97;1.15;-2.26;2.66;4;9;13;16;13;69.23;65.52;64.29;60.00;71.43;3.71;7.29;1.15;3.01;2.33;0.71;0.71;-2.77;6.63;9.40;9.08;03/07/2017;11/08/2017;30;7.30;8.47;50.00;50.00;15;15;3.37;1.72;19;0;14;3;1;8;0.44;0.02;0.31;0.50;0.14
